datetime,path,source,status,bytes_in,bytes_out,msg
2025-10-02T20:33:28,imagesnew1/lens/lens1/AEL0001_アイエクリプス_グレムーン_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AEL0001_アイエクリプス_グレムーン_1day_lens.jpg,NG,606984,0,decode/reencode failed
2025-10-02T20:33:28,imagesnew1/lens/lens1/AEL0001_アイエクリプス_ブルムーン_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AEL0001_アイエクリプス_ブルムーン_1day_lens.jpg,NG,606472,0,decode/reencode failed
2025-10-02T20:33:28,imagesnew1/lens/lens1/AEL0001_アイエクリプス_ライトムーン_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AEL0001_アイエクリプス_ライトムーン_1day_lens.jpg,NG,606709,0,decode/reencode failed
2025-10-02T20:33:29,imagesnew1/lens/lens1/AEL0002_アイエクリプス_サターン_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AEL0002_アイエクリプス_サターン_1day_lens.jpg,NG,606618,0,decode/reencode failed
2025-10-02T20:33:29,imagesnew1/lens/lens1/AEL0002_アイエクリプス_ブラムーン_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AEL0002_アイエクリプス_ブラムーン_1day_lens.jpg,NG,607050,0,decode/reencode failed
2025-10-02T20:33:29,imagesnew1/lens/lens1/AEL0003_アイエクリプス_グレムーン_1month_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AEL0003_アイエクリプス_グレムーン_1month_lens.jpg,NG,606817,0,decode/reencode failed
2025-10-02T20:33:30,imagesnew1/lens/lens1/AG0003_バンビシリーズ_アーモンド_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0003_バンビシリーズ_アーモンド_1day_lens.jpg,NG,606722,0,decode/reencode failed
2025-10-02T20:33:30,imagesnew1/lens/lens1/AG0003_バンビシリーズ_カシスブラウン_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0003_バンビシリーズ_カシスブラウン_1day_lens.jpg,NG,606790,0,decode/reencode failed
2025-10-02T20:33:30,imagesnew1/lens/lens1/AG0003_バンビシリーズ_クリームピンク_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0003_バンビシリーズ_クリームピンク_1day_lens.jpg,NG,606498,0,decode/reencode failed
2025-10-02T20:33:31,imagesnew1/lens/lens1/AG0003_バンビシリーズ_ショコラ_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0003_バンビシリーズ_ショコラ_1day_lens.jpg,NG,606558,0,decode/reencode failed
2025-10-02T20:33:31,imagesnew1/lens/lens1/AG0003_バンビシリーズ_スワングレー_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0003_バンビシリーズ_スワングレー_1day_lens.jpg,NG,607042,0,decode/reencode failed
2025-10-02T20:33:31,imagesnew1/lens/lens1/AG0003_バンビシリーズ_スワンブルー_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0003_バンビシリーズ_スワンブルー_1day_lens.jpg,NG,606697,0,decode/reencode failed
2025-10-02T20:33:32,imagesnew1/lens/lens1/AG0003_バンビシリーズ_パールグレー_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0003_バンビシリーズ_パールグレー_1day_lens.jpg,NG,606734,0,decode/reencode failed
2025-10-02T20:33:32,imagesnew1/lens/lens1/AG0003_バンビシリーズ_ミルクベージュ_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0003_バンビシリーズ_ミルクベージュ_1day_lens.jpg,NG,606643,0,decode/reencode failed
2025-10-02T20:33:32,imagesnew1/lens/lens1/AG0003_バンビシリーズ_レモンヘーゼル_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0003_バンビシリーズ_レモンヘーゼル_1day_lens.jpg,NG,606718,0,decode/reencode failed
2025-10-02T20:33:32,imagesnew1/lens/lens1/AG0005_バンビシリーズ_アーモンド_1month_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0005_バンビシリーズ_アーモンド_1month_lens.jpg,NG,606634,0,decode/reencode failed
2025-10-02T20:33:33,imagesnew1/lens/lens1/AG0005_バンビシリーズ_スワングレー_1month_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0005_バンビシリーズ_スワングレー_1month_lens.jpg,NG,606645,0,decode/reencode failed
2025-10-02T20:33:33,imagesnew1/lens/lens1/AG0005_バンビシリーズ_スワンブルー_1month_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0005_バンビシリーズ_スワンブルー_1month_lens.jpg,NG,606586,0,decode/reencode failed
2025-10-02T20:33:33,imagesnew1/lens/lens1/AG0007_バンビシリーズ_セサミムーン_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0007_バンビシリーズ_セサミムーン_1day_lens.jpg,NG,606921,0,decode/reencode failed
2025-10-02T20:33:34,imagesnew1/lens/lens1/AG0007_バンビシリーズ_ハニームーン_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0007_バンビシリーズ_ハニームーン_1day_lens.jpg,NG,606698,0,decode/reencode failed
2025-10-02T20:33:34,imagesnew1/lens/lens1/AG0007_バンビシリーズ_ブルーベリームーン_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0007_バンビシリーズ_ブルーベリームーン_1day_lens.jpg,NG,606672,0,decode/reencode failed
2025-10-02T20:33:34,imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ヴィンテージクラシック_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ヴィンテージクラシック_1day_lens.jpg,NG,606462,0,decode/reencode failed
2025-10-02T20:33:35,imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ヴィンテージグレー_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ヴィンテージグレー_1day_lens.jpg,NG,606841,0,decode/reencode failed
2025-10-02T20:33:35,imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ヴィンテージグレージュ_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ヴィンテージグレージュ_1day_lens.jpg,NG,606886,0,decode/reencode failed
2025-10-02T20:33:35,imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ヴィンテージセージ_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ヴィンテージセージ_1day_lens.jpg,NG,607962,0,decode/reencode failed
2025-10-02T20:33:36,imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ヴィンテージピスタチオ_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ヴィンテージピスタチオ_1day_lens.jpg,NG,606818,0,decode/reencode failed
2025-10-02T20:33:36,imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ヴィンテージベアー_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ヴィンテージベアー_1day_lens.jpg,NG,606547,0,decode/reencode failed
2025-10-02T20:33:36,imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ヴィンテージヘーゼル_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ヴィンテージヘーゼル_1day_lens.jpg,NG,606748,0,decode/reencode failed
2025-10-02T20:33:37,imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ヴィンテージラベンダー_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ヴィンテージラベンダー_1day_lens.jpg,NG,606543,0,decode/reencode failed
2025-10-02T20:33:37,imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ナチュラルヌード_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ナチュラルヌード_1day_lens.jpg,NG,606430,0,decode/reencode failed
2025-10-02T20:33:37,imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ナチュラルブラウン_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ナチュラルブラウン_1day_lens.jpg,NG,606942,0,decode/reencode failed
2025-10-02T20:33:37,imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ピュアブラウン_1day_lens.jpg,https://raw.githubusercontent.com/y4m4usr/HL001-quiz-karacon-academia-new/e2cbacf2d8d24222662151e6c4ed3edab7444774/imagesnew1/lens/lens1/AG0021_バンビシリーズ ヴィンテージ_ピュアブラウン_1day_lens.jpg,NG,606238,0,decode/reencode failed
